message,actual,pred,actual_label,pred_label
we know someone who you know that fancies you call  to find out who pobox  lshb p,1,0,spam,ham
hi im sue i am  years old and work as a lapdancer i love sex text me live  im i my bedroom now text sue to  by textoperator g da ppmsg,1,0,spam,ham
hmv bonus special  pounds of genuine hmv vouchers to be won just answer  easy questions play now send hmv to  more infowwwpercentrealcom,1,0,spam,ham
buy space invaders  a chance  win orig arcade game console press  for games arcade std wap charge see ocoukgames  terms  settings no purchase,1,0,spam,ham
ur hmv quiz cashbalance is currently å£  to maximize ur cashin now send hmv to  only pmsg,1,0,spam,ham
i liked the new mobile,0,1,ham,spam
loans for any purpose even if you have bad credit tenants welcome call noworriesloanscom on,1,0,spam,ham
tddnewsletteremccouk more games from thedailydraw dear helen dozens of free games  with great prizeswith,1,0,spam,ham
days to euro kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to,1,0,spam,ham
ringtoneking,1,0,spam,ham
